,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
14,7.0,UK,21845098,18846.0,171781.0,97.0,20306336.0,109212.0,1366981.0,355.0,318786.0,2507.0,512140269.0,7473679.0,68525857.0,Europe,3.0,399.0,0.0,275.0,1.0,19948.0
15,8.0,Russia,18084151,9434.0,373713.0,213.0,17390465.0,14324.0,319973.0,2300.0,123824.0,2559.0,273400000.0,1872003.0,146046737.0,Europe,8.0,391.0,1.0,65.0,1.0,2191.0
16,9.0,S. Korea,16353495,47743.0,21224.0,132.0,,,,850.0,318481.0,413.0,15804065.0,307781.0,51348351.0,Asia,3.0,2419.0,3.0,930.0,3.0,299187.0
17,10.0,Italy,15730788,18492.0,161766.0,79.0,14352067.0,27704.0,1216955.0,411.0,260865.0,2683.0,209276026.0,3470448.0,60302314.0,Europe,4.0,373.0,0.0,307.0,1.0,20181.0
18,11.0,Turkey,14999479,4542.0,98587.0,19.0,14763876.0,15624.0,137016.0,975.0,174479.0,1147.0,157348707.0,1830332.0,85967295.0,Asia,6.0,872.0,1.0,53.0,0.2,1594.0
19,12.0,Spain,11726222,10668.0,103656.0,65.0,11206990.0,14381.0,415576.0,368.0,250628.0,2215.0,471036328.0,10067617.0,46787271.0,Europe,4.0,451.0,0.0,228.0,1.0,8882.0
20,13.0,Vietnam,10475819,12012.0,42957.0,13.0,8941064.0,4218.0,1491798.0,1008.0,105913.0,434.0,85703689.0,866482.0,98909959.0,Asia,9.0,2303.0,1.0,121.0,0.1,15082.0
21,14.0,Argentina,9060923,,128344.0,,8895999.0,,36580.0,412.0,197234.0,2794.0,35716069.0,777452.0,45939873.0,South America,5.0,358.0,1.0,,,796.0
22,15.0,Netherlands,8023984,2075.0,22163.0,7.0,7412962.0,54216.0,588859.0,113.0,466432.0,1288.0,21107399.0,1226968.0,17202898.0,Europe,2.0,776.0,1.0,121.0,0.4,34230.0
23,16.0,Japan,7374251,39899.0,29023.0,31.0,6829906.0,44328.0,515322.0,222.0,58627.0,231.0,45700624.0,363333.0,125781818.0,Asia,17.0,4334.0,3.0,317.0,0.2,4097.0
24,17.0,Iran,7208968,2009.0,140854.0,25.0,6948946.0,3102.0,119168.0,1307.0,83902.0,1639.0,50079995.0,582856.0,85921663.0,Asia,12.0,610.0,2.0,23.0,0.3,1387.0
25,18.0,Colombia,6089791,129.0,139751.0,2.0,5923287.0,220.0,26753.0,342.0,117437.0,2695.0,34265772.0,660788.0,51855927.0,South America,9.0,371.0,2.0,2.0,0.04,516.0
26,19.0,Indonesia,6040432,559.0,155903.0,37.0,5833560.0,7831.0,50969.0,2771.0,21673.0,559.0,94216598.0,338042.0,278712873.0,Asia,46.0,1788.0,3.0,2.0,0.1,183.0
27,20.0,Poland,5985514,263.0,115838.0,,5334099.0,8.0,535577.0,268.0,158463.0,3067.0,35948483.0,951717.0,37772240.0,Europe,6.0,326.0,1.0,7.0,,14179.0
28,21.0,Mexico,5727668,1000.0,323944.0,6.0,5028436.0,683.0,375288.0,4798.0,43602.0,2466.0,15714867.0,119629.0,131363136.0,North America,23.0,406.0,8.0,8.0,0.05,2857.0
29,22.0,Australia,5419380,34270.0,6786.0,9.0,5017584.0,48476.0,395010.0,138.0,208192.0,261.0,68335670.0,2625196.0,26030697.0,Australia/Oceania,5.0,3836.0,0.0,1317.0,0.3,15175.0
30,23.0,Ukraine,4993164,304.0,108256.0,3.0,,,,177.0,115416.0,2502.0,19521252.0,451229.0,43262405.0,Europe,9.0,400.0,2.0,7.0,0.07,19113.0
31,24.0,Malaysia,4396165,7140.0,35437.0,16.0,4264127.0,14423.0,96601.0,110.0,132775.0,1070.0,57994524.0,1751573.0,33109959.0,Asia,8.0,934.0,1.0,216.0,0.5,2918.0
32,25.0,Austria,4059444,6227.0,16431.0,11.0,3918429.0,14139.0,124584.0,154.0,446161.0,1806.0,180657934.0,19855571.0,9098602.0,Europe,2.0,554.0,0.0,684.0,1.0,13693.0
33,26.0,Thailand,4046953,16994.0,27009.0,124.0,3814433.0,25910.0,205511.0,1496.0,57719.0,385.0,17270775.0,246323.0,70114236.0,Asia,17.0,2596.0,4.0,242.0,2.0,2931.0
34,27.0,Israel,4036684,4923.0,10647.0,17.0,3941841.0,,84196.0,220.0,432842.0,1142.0,41373364.0,4436346.0,9326000.0,Asia,2.0,876.0,0.0,528.0,2.0,9028.0
35,28.0,Belgium,3972963,,31165.0,,3664894.0,12275.0,276904.0,181.0,340147.0,2668.0,33313880.0,2852185.0,11680124.0,Europe,3.0,375.0,0.0,,,23707.0
36,29.0,Czechia,3882412,751.0,40001.0,7.0,3817842.0,4521.0,24569.0,47.0,361335.0,3723.0,55024950.0,5121159.0,10744628.0,Europe,3.0,269.0,0.0,70.0,0.7,2287.0
37,30.0,South Africa,3742107,877.0,100181.0,34.0,3627969.0,375.0,13957.0,175.0,61700.0,1652.0,24198159.0,398979.0,60650219.0,Africa,16.0,605.0,3.0,14.0,0.6,230.0
38,31.0,Portugal,3719485,,21993.0,,,,,61.0,366691.0,2168.0,40748372.0,4017243.0,10143368.0,Europe,3.0,461.0,0.0,,,80971.0
39,32.0,Philippines,3683209,168.0,59976.0,7.0,3603312.0,1277.0,19921.0,289.0,32828.0,535.0,29286749.0,261028.0,112197634.0,Asia,30.0,1871.0,4.0,1.0,0.06,178.0
40,33.0,Canada,3637710,5392.0,38319.0,8.0,3378726.0,5182.0,220665.0,407.0,94890.0,1000.0,60149136.0,1569003.0,38335885.0,North America,11.0,1000.0,1.0,141.0,0.2,5756.0
41,34.0,Switzerland,3578130,1783.0,13811.0,,3253709.0,26917.0,310610.0,103.0,408081.0,1575.0,20548491.0,2343529.0,8768183.0,Europe,2.0,635.0,0.0,203.0,,35425.0
42,35.0,Peru,3556384,645.0,212654.0,24.0,,,,371.0,105231.0,6292.0,29447514.0,871336.0,33795829.0,South America,10.0,159.0,1.0,19.0,0.7,48026.0
43,36.0,Chile,3531529,1271.0,57270.0,7.0,3325243.0,13150.0,149016.0,346.0,181938.0,2950.0,36471164.0,1878929.0,19410616.0,South America,5.0,339.0,1.0,65.0,0.4,7677.0
44,37.0,Greece,3242037,3868.0,28652.0,64.0,3098268.0,12214.0,115117.0,307.0,313795.0,2773.0,77990894.0,7548687.0,10331716.0,Europe,3.0,361.0,0.0,374.0,6.0,11142.0
45,38.0,Denmark,2950549,1142.0,6008.0,11.0,2913431.0,,31110.0,16.0,506202.0,1031.0,127063375.0,21799234.0,5828800.0,Europe,2.0,970.0,0.0,196.0,2.0,5337.0
46,39.0,Romania,2882590,686.0,65347.0,4.0,2606660.0,,210583.0,235.0,151656.0,3438.0,22487809.0,1183104.0,19007469.0,Europe,7.0,291.0,1.0,36.0,0.2,11079.0
47,40.0,Sweden,2495996,,18572.0,,2458422.0,1329.0,19002.0,24.0,244412.0,1819.0,18471631.0,1808771.0,10212255.0,Europe,4.0,550.0,1.0,,,1861.0
48,41.0,Iraq,2323284,152.0,25198.0,,2293427.0,624.0,4659.0,36.0,55526.0,602.0,18429771.0,440470.0,41841178.0,Asia,18.0,1660.0,2.0,4.0,,111.0
49,42.0,Serbia,1996868,882.0,15933.0,6.0,1960640.0,1911.0,20295.0,20.0,230207.0,1837.0,9383655.0,1081785.0,8674230.0,Europe,4.0,544.0,1.0,102.0,0.7,2340.0
50,43.0,Bangladesh,1952362,36.0,29126.0,2.0,1891197.0,355.0,32039.0,1283.0,11647.0,174.0,13930855.0,83103.0,167633174.0,Asia,86.0,5755.0,12.0,0.2,0.01,191.0
51,44.0,Hungary,1879480,,45865.0,,1748707.0,,84908.0,50.0,195446.0,4769.0,11244573.0,1169319.0,9616342.0,Europe,5.0,210.0,1.0,,,8830.0
52,45.0,Slovakia,1765258,1263.0,19759.0,18.0,1707211.0,1445.0,38288.0,109.0,323048.0,3616.0,7020304.0,1284738.0,5464387.0,Europe,3.0,277.0,1.0,231.0,3.0,7007.0
53,46.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,163143.0,1353.0,16670254.0,1605245.0,10384866.0,Asia,6.0,739.0,1.0,,,118.0
54,47.0,Georgia,1653118,74.0,16793.0,1.0,1634313.0,357.0,2012.0,,415834.0,4224.0,16706619.0,4202469.0,3975429.0,Asia,2.0,237.0,0.0,19.0,0.3,506.0
55,48.0,Pakistan,1527326,78.0,30364.0,1.0,1493662.0,56.0,3300.0,209.0,6682.0,133.0,27926021.0,122169.0,228585333.0,Asia,150.0,7528.0,8.0,0.3,,14.0
56,49.0,Ireland,1504790,1668.0,6932.0,,1374154.0,4787.0,123704.0,48.0,298763.0,1376.0,11971043.0,2376743.0,5036743.0,Europe,3.0,727.0,0.0,331.0,,24560.0
57,50.0,Norway,1420033,304.0,2783.0,,,,,20.0,258315.0,506.0,11002430.0,2001424.0,5497300.0,Europe,4.0,1975.0,0.0,55.0,,241627.0
58,51.0,Kazakhstan,1305396,9.0,13660.0,,1290880.0,72.0,856.0,24.0,68062.0,712.0,11575012.0,603505.0,19179649.0,Asia,15.0,1404.0,2.0,0.5,,45.0
59,52.0,Hong Kong,1198438,613.0,9159.0,20.0,,,,115.0,157563.0,1204.0,44972952.0,5912739.0,7606111.0,Asia,6.0,830.0,0.0,81.0,3.0,154619.0
60,53.0,Morocco,1164411,30.0,16064.0,1.0,1147740.0,66.0,607.0,293.0,30890.0,426.0,11237010.0,298100.0,37695462.0,Africa,32.0,2347.0,3.0,0.8,0.03,16.0
61,54.0,Singapore,1162780,2480.0,1316.0,,1097300.0,3396.0,64164.0,9.0,195989.0,222.0,23611604.0,3979777.0,5932896.0,Asia,5.0,4508.0,0.0,418.0,,10815.0
62,55.0,Bulgaria,1150342,895.0,36810.0,26.0,952493.0,3290.0,161039.0,112.0,167820.0,5370.0,9760647.0,1423953.0,6854612.0,Europe,6.0,186.0,1.0,131.0,4.0,23494.0
63,56.0,Croatia,1113547,30.0,15742.0,7.0,1093859.0,822.0,3946.0,23.0,274283.0,3877.0,4743521.0,1168398.0,4059850.0,Europe,4.0,258.0,1.0,7.0,2.0,972.0
64,57.0,Cuba,1100073,337.0,8521.0,1.0,1089838.0,433.0,1714.0,23.0,97229.0,753.0,12920253.0,1141949.0,11314212.0,North America,10.0,1328.0,1.0,30.0,0.09,151.0
65,58.0,Lebanon,1095685,72.0,10363.0,3.0,1076531.0,,8791.0,186.0,161830.0,1531.0,4795578.0,708293.0,6770609.0,Asia,6.0,653.0,1.0,11.0,0.4,1298.0
66,59.0,Lithuania,1049801,418.0,9024.0,4.0,1007222.0,1387.0,33555.0,44.0,395530.0,3400.0,8183615.0,3083313.0,2654163.0,Europe,3.0,294.0,0.0,157.0,2.0,12642.0
67,60.0,Tunisia,1038668,,28509.0,,,,,29.0,86265.0,2368.0,4547755.0,377705.0,12040494.0,Africa,12.0,422.0,3.0,,,-1134.09
68,61.0,Slovenia,997791,393.0,6560.0,3.0,968880.0,806.0,22351.0,30.0,479834.0,3155.0,2634315.0,1266832.0,2079451.0,Europe,2.0,317.0,1.0,189.0,1.0,10749.0
69,62.0,Nepal,978674,9.0,11951.0,,966373.0,34.0,350.0,,32539.0,397.0,5600115.0,186194.0,30076806.0,Asia,31.0,2517.0,5.0,0.3,,12.0
70,63.0,Belarus,974714,236.0,6903.0,2.0,928536.0,,39275.0,,103213.0,731.0,13041946.0,1381014.0,9443746.0,Europe,10.0,1368.0,1.0,25.0,0.2,4159.0
71,64.0,Finland,949583,,3517.0,,46000.0,,900066.0,29.0,170906.0,633.0,10591416.0,1906246.0,5556164.0,Europe,6.0,1580.0,1.0,,,161994.0
72,65.0,Bolivia,903908,20.0,21903.0,,852606.0,390.0,29399.0,220.0,75586.0,1832.0,2688875.0,224847.0,11958676.0,South America,13.0,546.0,4.0,2.0,,2458.0
73,66.0,Uruguay,895775,,7197.0,,886654.0,,1924.0,18.0,256278.0,2059.0,6091188.0,1742664.0,3495331.0,South America,4.0,486.0,1.0,,,550.0
74,67.0,UAE,895663,198.0,2302.0,,877648.0,370.0,15713.0,,88637.0,228.0,152710641.0,15112698.0,10104790.0,Asia,11.0,4390.0,0.0,20.0,,1555.0
75,68.0,Ecuador,866925,41.0,35528.0,,,,,759.0,47834.0,1960.0,2470170.0,136295.0,18123652.0,South America,21.0,510.0,7.0,2.0,,21382.0
76,69.0,Costa Rica,847784,787.0,8383.0,5.0,829515.0,643.0,9886.0,44.0,163741.0,1619.0,4240743.0,819059.0,5177579.0,North America,6.0,618.0,1.0,152.0,1.0,1909.0
77,70.0,Guatemala,837608,50.0,17434.0,4.0,817392.0,259.0,2782.0,5.0,45252.0,942.0,4357102.0,235392.0,18510001.0,North America,22.0,1062.0,4.0,3.0,0.2,150.0
78,71.0,New Zealand,831149,6282.0,564.0,10.0,774408.0,7627.0,56177.0,,166160.0,113.0,6971077.0,1393630.0,5002100.0,Australia/Oceania,6.0,8869.0,1.0,1256.0,2.0,11231.0
79,72.0,Latvia,813243,67.0,5715.0,,797254.0,348.0,10274.0,11.0,439878.0,3091.0,7128115.0,3855551.0,1848793.0,Europe,2.0,323.0,0.0,36.0,,5557.0
80,73.0,Azerbaijan,792365,3.0,9706.0,,782533.0,17.0,126.0,,76905.0,942.0,6771851.0,657260.0,10303147.0,Asia,13.0,1062.0,2.0,0.3,,12.0
81,74.0,Panama,768978,184.0,8179.0,,758497.0,277.0,2302.0,9.0,173326.0,1844.0,5793689.0,1305882.0,4436610.0,North America,6.0,542.0,1.0,41.0,,519.0
82,75.0,Saudi Arabia,752705,133.0,9069.0,,739296.0,259.0,4340.0,56.0,21033.0,253.0,41759263.0,1166901.0,35786463.0,Asia,48.0,3946.0,1.0,4.0,,121.0
83,76.0,Sri Lanka,662912,85.0,16496.0,1.0,642556.0,3.0,3860.0,,30727.0,765.0,6477329.0,300233.0,21574344.0,Asia,33.0,1308.0,3.0,4.0,0.05,179.0
84,77.0,Paraguay,648446,,18781.0,,624673.0,,4992.0,3.0,88953.0,2576.0,2615453.0,358786.0,7289722.0,South America,11.0,388.0,3.0,,,685.0
85,78.0,Kuwait,630888,,2555.0,,627278.0,,1055.0,4.0,143911.0,583.0,7976136.0,1819428.0,4383870.0,Asia,7.0,1716.0,1.0,,,241.0
86,79.0,Myanmar,612602,37.0,19434.0,,591373.0,26.0,1795.0,,11125.0,353.0,7838552.0,142353.0,55064259.0,Asia,90.0,2833.0,7.0,0.7,,33.0
87,80.0,Palestine,581816,138.0,5353.0,1.0,575899.0,286.0,564.0,17.0,109486.0,1007.0,3078533.0,579316.0,5314081.0,Asia,9.0,993.0,2.0,26.0,0.2,106.0
88,81.0,Dominican Republic,578789,56.0,4375.0,,574244.0,4.0,170.0,16.0,52412.0,396.0,3255822.0,294829.0,11043085.0,North America,19.0,2524.0,3.0,5.0,,15.0
89,82.0,Estonia,567644,181.0,2522.0,6.0,502253.0,324.0,62869.0,4.0,427399.0,1899.0,3295012.0,2480930.0,1328136.0,Europe,2.0,527.0,0.0,136.0,5.0,47336.0
90,83.0,Bahrain,563584,401.0,1474.0,,558446.0,490.0,3664.0,4.0,311786.0,815.0,9679913.0,5355131.0,1807596.0,Asia,3.0,1226.0,0.0,222.0,,2027.0
91,84.0,Venezuela,522049,7.0,5702.0,1.0,514911.0,139.0,1436.0,230.0,18453.0,202.0,3359014.0,118729.0,28291388.0,South America,54.0,4962.0,8.0,0.2,0.04,51.0
92,85.0,Moldova,516444,13.0,11482.0,1.0,503413.0,122.0,1549.0,27.0,128560.0,2858.0,3204755.0,797770.0,4017142.0,Europe,8.0,350.0,1.0,3.0,0.2,386.0
93,86.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4874.0,233.0,3693367.0,34910.0,105796348.0,Africa,205.0,4298.0,29.0,,,462.0
94,87.0,Libya,501862,,6429.0,,490900.0,,4533.0,101.0,71298.0,913.0,2476960.0,351895.0,7038917.0,Africa,14.0,1095.0,3.0,,,644.0
95,88.0,Ethiopia,470288,15.0,7509.0,,453646.0,10.0,9133.0,21.0,3917.0,63.0,4739492.0,39473.0,120070011.0,Africa,255.0,15990.0,25.0,0.1,,76.0
96,89.0,Mongolia,469365,12.0,2177.0,,313256.0,,153932.0,192.0,139154.0,645.0,4030048.0,1194799.0,3372992.0,Asia,7.0,1549.0,1.0,4.0,,45637.0
97,90.0,Cyprus,464366,,993.0,,124370.0,,339003.0,60.0,379654.0,812.0,9477138.0,7748273.0,1223129.0,Asia,3.0,1232.0,0.0,,,277160.0
98,91.0,Armenia,422770,8.0,8622.0,1.0,410458.0,10.0,3690.0,,142195.0,2900.0,3017543.0,1014921.0,2973180.0,Asia,7.0,345.0,1.0,3.0,0.3,1241.0
99,92.0,Honduras,421659,391.0,10891.0,3.0,131100.0,,279668.0,105.0,41391.0,1069.0,1263329.0,124012.0,10187191.0,North America,24.0,935.0,8.0,38.0,0.3,27453.0
100,93.0,Oman,388891,26.0,4257.0,,383975.0,30.0,659.0,7.0,72833.0,797.0,25000000.0,4682077.0,5339511.0,Asia,14.0,1254.0,0.0,5.0,,123.0
101,94.0,Bosnia and Herzegovina,376437,,15749.0,,192218.0,,168470.0,,116034.0,4854.0,1748585.0,538987.0,3244209.0,Europe,9.0,206.0,2.0,,,51929.0
102,95.0,Qatar,363654,111.0,677.0,,361951.0,106.0,1026.0,1.0,129515.0,241.0,3422431.0,1218899.0,2807805.0,Asia,8.0,4147.0,1.0,40.0,,365.0
103,96.0,Réunion,360445,,731.0,,342442.0,,17272.0,10.0,397502.0,806.0,1603660.0,1768529.0,906776.0,Africa,3.0,1240.0,1.0,,,19048.0
104,97.0,Kenya,323618,4.0,5649.0,,317811.0,,158.0,,5790.0,101.0,3568521.0,63843.0,55895462.0,Africa,173.0,9895.0,16.0,0.07,,3.0
105,98.0,Zambia,318515,,3973.0,,313692.0,,850.0,,16497.0,206.0,3399995.0,176101.0,19307077.0,Africa,61.0,4860.0,6.0,,,44.0
106,99.0,North Macedonia,308619,14.0,9262.0,1.0,298532.0,226.0,825.0,,148145.0,4446.0,1997169.0,958693.0,2083221.0,Europe,7.0,225.0,1.0,7.0,0.5,396.0
107,100.0,Botswana,305859,,2688.0,,303026.0,,145.0,1.0,125517.0,1103.0,2026898.0,831791.0,2436788.0,Africa,8.0,907.0,1.0,,,60.0
108,101.0,Albania,274520,16.0,3496.0,,270658.0,32.0,366.0,2.0,95580.0,1217.0,1793981.0,624611.0,2872159.0,Europe,10.0,822.0,2.0,6.0,,127.0
109,102.0,Algeria,265741,2.0,6874.0,,178336.0,1.0,80531.0,6.0,5870.0,152.0,230861.0,5099.0,45271360.0,Africa,170.0,6586.0,196.0,0.04,,1779.0
110,103.0,Nigeria,255648,,3143.0,,249847.0,,2658.0,11.0,1187.0,15.0,4977858.0,23120.0,215301380.0,Africa,842.0,68502.0,43.0,,,12.0
111,104.0,Zimbabwe,247297,19.0,5464.0,1.0,241112.0,100.0,721.0,12.0,16215.0,358.0,2229802.0,146206.0,15251064.0,Africa,62.0,2791.0,7.0,1.0,0.07,47.0
112,105.0,Uzbekistan,238313,25.0,1637.0,,236309.0,34.0,367.0,23.0,6940.0,48.0,1377915.0,40126.0,34339369.0,Asia,144.0,20977.0,25.0,0.7,,11.0
113,106.0,Montenegro,234251,33.0,2709.0,,230916.0,25.0,626.0,6.0,372887.0,4312.0,2439629.0,3883467.0,628209.0,Europe,3.0,232.0,0.0,53.0,,996.0
114,107.0,Luxembourg,229311,,1054.0,,214556.0,,13701.0,4.0,355937.0,1636.0,4200517.0,6520051.0,644246.0,Europe,3.0,611.0,0.0,,,21267.0
115,108.0,Mozambique,225332,3.0,2201.0,1.0,223079.0,8.0,52.0,13.0,6865.0,67.0,1306594.0,39804.0,32825481.0,Africa,146.0,14914.0,25.0,0.09,0.03,2.0
116,109.0,Kyrgyzstan,200980,,2991.0,,196331.0,7.0,1658.0,131.0,29920.0,445.0,1907195.0,283924.0,6717279.0,Asia,33.0,2246.0,4.0,,,247.0
117,110.0,Laos,200502,312.0,722.0,4.0,7660.0,,192120.0,,26859.0,97.0,1232128.0,165055.0,7464955.0,Asia,37.0,10339.0,6.0,42.0,0.5,25736.0
118,111.0,Iceland,183974,,110.0,,75685.0,,108179.0,1.0,532923.0,319.0,1953616.0,5659096.0,345217.0,Europe,2.0,3138.0,0.0,,,313365.0
119,112.0,Maldives,178883,570.0,298.0,,163687.0,,14898.0,25.0,320797.0,534.0,2213831.0,3970136.0,557621.0,Asia,3.0,1871.0,0.0,1022.0,,26717.0
120,113.0,Afghanistan,178462,39.0,7679.0,1.0,161544.0,27.0,9239.0,1124.0,4406.0,190.0,936091.0,23113.0,40500605.0,Asia,227.0,5274.0,43.0,1.0,0.02,228.0
121,114.0,Uganda,164055,4.0,3596.0,,100205.0,,60254.0,2.0,3394.0,74.0,2607787.0,53957.0,48330675.0,Africa,295.0,13440.0,19.0,0.08,,1247.0
122,115.0,El Salvador,162089,,4125.0,,150662.0,,7302.0,8.0,24766.0,630.0,1950448.0,298009.0,6544927.0,North America,40.0,1587.0,3.0,,,1116.0
123,116.0,Ghana,161101,,1445.0,,159624.0,,32.0,1.0,4998.0,45.0,2430490.0,75396.0,32236224.0,Africa,200.0,22309.0,13.0,,,1.0
124,117.0,Namibia,158074,,4022.0,,153662.0,,390.0,,60254.0,1533.0,996110.0,379696.0,2623443.0,Africa,17.0,652.0,3.0,,,149.0
125,118.0,Martinique,147519,,918.0,,104.0,,146497.0,8.0,393654.0,2450.0,828928.0,2211991.0,374743.0,North America,3.0,408.0,0.0,,,390927.0
126,119.0,Trinidad and Tobago,142422,200.0,3803.0,3.0,132350.0,480.0,6269.0,18.0,101179.0,2702.0,688829.0,489358.0,1407619.0,North America,10.0,370.0,2.0,142.0,2.0,4454.0
127,120.0,Brunei,140182,159.0,218.0,,138693.0,290.0,1271.0,,315019.0,490.0,717784.0,1613016.0,444995.0,Asia,3.0,2041.0,1.0,357.0,,2856.0
128,121.0,Guadeloupe,140130,,854.0,,2250.0,,137026.0,19.0,350109.0,2134.0,938039.0,2343650.0,400247.0,North America,3.0,469.0,0.0,,,342354.0
129,122.0,Cambodia,136076,16.0,3055.0,,132789.0,20.0,232.0,,7942.0,178.0,2942234.0,171718.0,17134059.0,Asia,126.0,5609.0,6.0,0.9,,14.0
130,123.0,Rwanda,129758,,1458.0,,45522.0,,82778.0,1.0,9592.0,108.0,5196697.0,384145.0,13527959.0,Africa,104.0,9278.0,3.0,,,6119.0
131,124.0,Jamaica,129281,43.0,2931.0,2.0,82613.0,87.0,43737.0,,43320.0,982.0,969465.0,324849.0,2984357.0,North America,23.0,1018.0,3.0,14.0,0.7,14655.0
132,125.0,Cameroon,119780,,1927.0,,117791.0,,62.0,13.0,4319.0,69.0,1751774.0,63171.0,27730780.0,Africa,232.0,14391.0,16.0,,,2.0
133,126.0,Angola,99194,,1900.0,,97149.0,,145.0,,2859.0,55.0,1499795.0,43223.0,34699115.0,Africa,350.0,18263.0,23.0,,,4.0
134,127.0,Malta,89028,199.0,677.0,2.0,80802.0,494.0,7549.0,4.0,200670.0,1526.0,1859492.0,4191321.0,443653.0,Europe,5.0,655.0,0.0,449.0,5.0,17016.0
135,128.0,DRC,87023,,1337.0,,50930.0,,34756.0,,921.0,14.0,846704.0,8965.0,94442912.0,Africa,1085.0,70638.0,112.0,,,368.0
136,129.0,Senegal,85971,3.0,1965.0,,83985.0,4.0,21.0,1.0,4903.0,112.0,1059624.0,60429.0,17535106.0,Africa,204.0,8924.0,17.0,0.2,,1.0
137,130.0,Malawi,85728,,2632.0,1.0,81915.0,,1181.0,67.0,4283.0,131.0,569074.0,28430.0,20016335.0,Africa,233.0,7605.0,35.0,,0.05,59.0
138,131.0,Ivory Coast,81861,4.0,797.0,,81026.0,3.0,38.0,,2971.0,29.0,1489194.0,54055.0,27549595.0,Africa,337.0,34567.0,18.0,0.1,,1.0
139,132.0,French Guiana,80035,,394.0,,11254.0,,68387.0,2.0,256060.0,1261.0,618263.0,1978036.0,312564.0,South America,4.0,793.0,1.0,,,218794.0
140,133.0,Suriname,79276,,1325.0,,49395.0,,28556.0,,132999.0,2223.0,235707.0,395440.0,596063.0,South America,8.0,450.0,3.0,,,47908.0
141,134.0,French Polynesia,72596,,648.0,,,,,7.0,255780.0,2283.0,,,283822.0,Australia/Oceania,4.0,438.0,,,,135465.0
142,135.0,Channel Islands,72328,,165.0,,70327.0,,1836.0,,409239.0,934.0,1252808.0,7088504.0,176738.0,Europe,2.0,1071.0,0.0,,,10388.0
143,136.0,Eswatini,70102,,1395.0,,68675.0,12.0,32.0,11.0,59322.0,1180.0,1010362.0,854996.0,1181716.0,Africa,17.0,847.0,1.0,,,27.0
144,137.0,Barbados,64794,164.0,386.0,2.0,61190.0,250.0,3218.0,,224974.0,1340.0,632869.0,2197416.0,288006.0,North America,4.0,746.0,0.0,569.0,7.0,11173.0
