,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
13,6.0,Germany,24791190,20595.0,135947.0,34.0,22469200.0,113200.0,2186043.0,1446.0,294173.0,1613.0,122332384.0,1451601.0,84274119.0,Europe,3.0,620.0,1.0,244.0,0.4,25940.0
14,7.0,UK,22038340,,174912.0,,21264128.0,53720.0,599300.0,302.0,321547.0,2552.0,517337635.0,7548132.0,68538498.0,Europe,3.0,392.0,0.0,,,8744.0
15,8.0,Russia,18195608,6207.0,376167.0,136.0,17556220.0,7502.0,263221.0,2300.0,124586.0,2576.0,273400000.0,1871975.0,146048952.0,Europe,8.0,388.0,1.0,42.0,0.9,1802.0
16,9.0,S. Korea,17295733,20084.0,22958.0,83.0,,,,461.0,336821.0,447.0,15804065.0,307772.0,51349914.0,Asia,3.0,2237.0,3.0,391.0,2.0,317493.0
17,10.0,Italy,16523859,18896.0,163736.0,124.0,15155021.0,45512.0,1205102.0,368.0,274031.0,2715.0,214183728.0,3552018.0,60299169.0,Europe,4.0,368.0,0.0,313.0,2.0,19985.0
18,11.0,Turkey,15034917,1344.0,98791.0,8.0,14931490.0,1402.0,4636.0,975.0,174826.0,1149.0,159230999.0,1851534.0,85999512.0,Asia,6.0,871.0,1.0,16.0,0.09,54.0
19,12.0,Spain,11896152,,104456.0,,11389694.0,,402002.0,339.0,254257.0,2233.0,471036328.0,10067479.0,46787912.0,Europe,4.0,448.0,0.0,,,8592.0
20,13.0,Vietnam,10656649,3123.0,43044.0,2.0,9265456.0,1090.0,1348149.0,475.0,107707.0,435.0,85800783.0,867191.0,98941036.0,Asia,9.0,2299.0,1.0,32.0,0.02,13626.0
21,14.0,Argentina,9083673,,128653.0,,8895999.0,,59021.0,372.0,197666.0,2800.0,35716069.0,777204.0,45954590.0,South America,5.0,357.0,1.0,,,1284.0
22,15.0,Netherlands,8051301,1282.0,22256.0,3.0,7875675.0,38695.0,153370.0,70.0,467984.0,1294.0,21107399.0,1226872.0,17204241.0,Europe,2.0,773.0,1.0,75.0,0.2,8915.0
23,16.0,Japan,7901933,25425.0,29601.0,34.0,7479421.0,40318.0,392911.0,164.0,62829.0,235.0,48810804.0,388102.0,125768126.0,Asia,16.0,4249.0,3.0,202.0,0.3,3124.0
24,17.0,Iran,7223005,697.0,141114.0,18.0,6989358.0,2842.0,92533.0,1038.0,84028.0,1642.0,50914586.0,592307.0,85959848.0,Asia,12.0,609.0,2.0,8.0,0.2,1076.0
25,18.0,Colombia,6092667,,139797.0,,5926476.0,,26394.0,342.0,117449.0,2695.0,34465052.0,664384.0,51875179.0,South America,9.0,371.0,2.0,,,509.0
26,19.0,Indonesia,6047208,168.0,156287.0,14.0,5883664.0,371.0,7257.0,2771.0,21689.0,561.0,95693154.0,343213.0,278815543.0,Asia,46.0,1784.0,3.0,0.6,0.05,26.0
27,20.0,Poland,5996935,188.0,116059.0,,5334736.0,25.0,546140.0,1321.0,158772.0,3073.0,36104936.0,955896.0,37770774.0,Europe,6.0,325.0,1.0,5.0,,14459.0
28,21.0,Australia,5991928,31084.0,7244.0,13.0,5624690.0,,359994.0,135.0,230094.0,278.0,69443660.0,2666684.0,26041202.0,Australia/Oceania,4.0,3595.0,0.0,1194.0,0.5,13824.0
29,22.0,Mexico,5740080,400.0,324350.0,16.0,5039624.0,723.0,376106.0,4798.0,43680.0,2468.0,15801675.0,120246.0,131411221.0,North America,23.0,405.0,8.0,3.0,0.1,2862.0
30,23.0,Ukraine,5002870,299.0,108411.0,1.0,,,,177.0,115665.0,2506.0,19521252.0,451326.0,43253122.0,Europe,9.0,399.0,2.0,7.0,0.02,19338.0
31,24.0,Malaysia,4450859,1352.0,35555.0,5.0,4378864.0,6074.0,36440.0,66.0,134367.0,1073.0,58808233.0,1775360.0,33124688.0,Asia,7.0,932.0,1.0,41.0,0.2,1100.0
32,25.0,Thailand,4271815,9331.0,28704.0,84.0,4114046.0,21168.0,129065.0,1496.0,60921.0,409.0,17270775.0,246302.0,70120440.0,Asia,16.0,2443.0,4.0,133.0,1.0,1841.0
33,26.0,Austria,4149004,4098.0,18170.0,9.0,4055726.0,6250.0,75108.0,90.0,455913.0,1997.0,183157777.0,20126290.0,9100424.0,Europe,2.0,501.0,0.0,450.0,1.0,8253.0
34,27.0,Israel,4080487,2624.0,10698.0,,4048807.0,2697.0,20982.0,220.0,437539.0,1147.0,41373364.0,4436346.0,9326000.0,Asia,2.0,872.0,0.0,281.0,,2250.0
35,28.0,Belgium,4056448,,31439.0,,3819609.0,15386.0,205400.0,150.0,347242.0,2691.0,33531891.0,2870411.0,11681911.0,Europe,3.0,372.0,0.0,,,17583.0
36,29.0,Czechia,3906098,396.0,40164.0,2.0,3854019.0,2013.0,11915.0,23.0,363516.0,3738.0,55211168.0,5138154.0,10745331.0,Europe,3.0,268.0,0.0,37.0,0.2,1109.0
37,30.0,Portugal,3853800,,22280.0,,,,,61.0,379972.0,2197.0,41336850.0,4075681.0,10142317.0,Europe,3.0,455.0,0.0,,,94194.0
38,31.0,South Africa,3798413,2650.0,100370.0,7.0,3651665.0,1550.0,46378.0,192.0,62601.0,1654.0,24505584.0,403871.0,60676777.0,Africa,16.0,605.0,2.0,44.0,0.1,764.0
39,32.0,Canada,3756272,4946.0,39292.0,32.0,3459763.0,2391.0,257217.0,468.0,97953.0,1025.0,60943345.0,1589234.0,38347627.0,North America,10.0,976.0,1.0,129.0,0.8,6708.0
40,33.0,Philippines,3686082,188.0,60410.0,13.0,3620369.0,838.0,5303.0,289.0,32838.0,538.0,29599478.0,263694.0,112249444.0,Asia,30.0,1858.0,4.0,2.0,0.1,47.0
41,34.0,Switzerland,3602489,,13859.0,,3477036.0,5967.0,111594.0,87.0,410754.0,1580.0,20767523.0,2367903.0,8770428.0,Europe,2.0,633.0,0.0,,,12724.0
42,35.0,Peru,3565839,,212841.0,,,,,297.0,105460.0,6295.0,29874150.0,883533.0,33812147.0,South America,9.0,159.0,1.0,,,48277.0
43,36.0,Chile,3562521,1505.0,57541.0,2.0,3424636.0,5249.0,80344.0,209.0,183480.0,2964.0,37084042.0,1909930.0,19416438.0,South America,5.0,337.0,1.0,78.0,0.1,4138.0
44,37.0,Greece,3331288,2665.0,29205.0,30.0,3230438.0,7343.0,71645.0,235.0,322489.0,2827.0,79941425.0,7738826.0,10329916.0,Europe,3.0,354.0,0.0,258.0,3.0,6936.0
45,38.0,Denmark,2967388,717.0,6183.0,13.0,2944379.0,1130.0,16826.0,8.0,509028.0,1061.0,127233608.0,21825732.0,5829523.0,Europe,2.0,943.0,0.0,123.0,2.0,2886.0
46,39.0,Romania,2894896,528.0,65496.0,3.0,2606660.0,,222740.0,191.0,152339.0,3447.0,22725764.0,1195908.0,19002936.0,Europe,7.0,290.0,1.0,28.0,0.2,11721.0
47,40.0,Sweden,2500917,,18739.0,,2470701.0,756.0,11477.0,21.0,244840.0,1835.0,18513445.0,1812469.0,10214488.0,Europe,4.0,545.0,1.0,,,1124.0
48,41.0,Iraq,2325247,72.0,25211.0,,2298174.0,218.0,1862.0,15.0,55531.0,602.0,18482865.0,441400.0,41873314.0,Asia,18.0,1661.0,2.0,2.0,,44.0
49,42.0,Serbia,2007091,396.0,16002.0,3.0,1977662.0,976.0,13427.0,21.0,231419.0,1845.0,9497175.0,1095029.0,8672986.0,Europe,4.0,542.0,1.0,46.0,0.3,1548.0
50,43.0,Bangladesh,1952726,10.0,29127.0,,1896001.0,304.0,27598.0,1297.0,11645.0,174.0,13995586.0,83460.0,167691408.0,Asia,86.0,5757.0,12.0,0.06,,165.0
51,44.0,Hungary,1903200,2183.0,46266.0,65.0,1808061.0,3766.0,48873.0,40.0,197931.0,4812.0,11355462.0,1180957.0,9615474.0,Europe,5.0,208.0,1.0,227.0,7.0,5083.0
52,45.0,Slovakia,1781842,150.0,19931.0,14.0,1745341.0,1251.0,16570.0,70.0,326077.0,3647.0,7094321.0,1298261.0,5464480.0,Europe,3.0,274.0,1.0,27.0,3.0,3032.0
53,46.0,Jordan,1694216,,14048.0,,1678941.0,,1227.0,124.0,163086.0,1352.0,16670254.0,1604689.0,10388461.0,Asia,6.0,739.0,1.0,,,118.0
54,47.0,Georgia,1655221,51.0,16811.0,1.0,1637293.0,95.0,1117.0,,416391.0,4229.0,16920079.0,4256454.0,3975158.0,Asia,2.0,236.0,0.0,13.0,0.3,281.0
55,48.0,Pakistan,1528518,40.0,30372.0,1.0,1494141.0,,4005.0,111.0,6682.0,133.0,28192123.0,123251.0,228737931.0,Asia,150.0,7531.0,8.0,0.2,,18.0
56,49.0,Ireland,1517112,,7087.0,,1461810.0,3747.0,48215.0,41.0,301092.0,1407.0,12063637.0,2394195.0,5038702.0,Europe,3.0,711.0,0.0,,,9569.0
57,50.0,Norway,1426491,363.0,2932.0,,,,,20.0,259418.0,533.0,11002430.0,2000877.0,5498803.0,Europe,4.0,1875.0,0.0,66.0,,242709.0
58,51.0,Kazakhstan,1305548,5.0,13660.0,,1291089.0,11.0,799.0,24.0,68041.0,712.0,11575012.0,603254.0,19187625.0,Asia,15.0,1405.0,2.0,0.3,,42.0
59,52.0,Hong Kong,1204793,283.0,9318.0,5.0,,,,5.0,158353.0,1225.0,44972952.0,5911063.0,7608268.0,Asia,6.0,817.0,0.0,37.0,0.7,155389.0
60,53.0,Singapore,1200976,1336.0,1338.0,2.0,1137970.0,,61668.0,6.0,202371.0,225.0,23767171.0,4004897.0,5934528.0,Asia,5.0,4435.0,0.0,225.0,0.3,10391.0
61,54.0,Morocco,1164984,11.0,16069.0,,1148556.0,53.0,359.0,293.0,30892.0,426.0,11237010.0,297977.0,37710997.0,Africa,32.0,2347.0,3.0,0.3,,10.0
62,55.0,Bulgaria,1157199,228.0,36920.0,2.0,978533.0,239.0,141746.0,77.0,168866.0,5388.0,9855728.0,1438212.0,6852765.0,Europe,6.0,186.0,1.0,33.0,0.3,20684.0
63,56.0,Croatia,1123029,47.0,15843.0,8.0,1102510.0,811.0,4676.0,15.0,276679.0,3903.0,4790822.0,1180309.0,4058956.0,Europe,4.0,256.0,1.0,12.0,2.0,1152.0
64,57.0,Cuba,1103286,155.0,8527.0,,1093878.0,171.0,881.0,23.0,97515.0,754.0,12920253.0,1141974.0,11313967.0,North America,10.0,1327.0,1.0,14.0,,78.0
65,58.0,Lebanon,1097044,,10387.0,,1081770.0,,4887.0,186.0,162056.0,1534.0,4795578.0,708406.0,6769529.0,Asia,6.0,652.0,1.0,,,722.0
66,59.0,Lithuania,1058537,105.0,9105.0,6.0,1024882.0,775.0,24550.0,34.0,399023.0,3432.0,8251467.0,3110446.0,2652824.0,Europe,3.0,291.0,0.0,40.0,2.0,9254.0
67,60.0,Tunisia,1040193,,28550.0,,,,,29.0,86360.0,2370.0,4572976.0,379661.0,12044884.0,Africa,12.0,422.0,3.0,,,-1198.19
68,61.0,Finland,1023013,,3939.0,,46000.0,,973074.0,24.0,184112.0,709.0,10720282.0,1929334.0,5556468.0,Europe,5.0,1411.0,1.0,,,175125.0
69,62.0,Slovenia,1010785,229.0,6595.0,2.0,991301.0,394.0,12889.0,22.0,486080.0,3171.0,2646952.0,1272903.0,2079461.0,Europe,2.0,315.0,1.0,110.0,1.0,6198.0
70,63.0,Belarus,980828,148.0,6951.0,2.0,928536.0,,45341.0,,103861.0,736.0,13171246.0,1394722.0,9443636.0,Europe,10.0,1359.0,1.0,16.0,0.2,4801.0
71,64.0,Nepal,978836,8.0,11951.0,,966674.0,18.0,211.0,,32524.0,397.0,5642144.0,187475.0,30095444.0,Asia,31.0,2518.0,5.0,0.3,,7.0
72,65.0,New Zealand,943428,6731.0,713.0,6.0,889320.0,5727.0,53395.0,,188606.0,143.0,7081425.0,1415690.0,5002100.0,Australia/Oceania,5.0,7016.0,1.0,1346.0,1.0,10675.0
73,66.0,Bolivia,905074,33.0,21923.0,,859142.0,222.0,24009.0,220.0,75648.0,1832.0,2699040.0,225591.0,11964333.0,South America,13.0,546.0,4.0,3.0,,2007.0
74,67.0,UAE,899033,222.0,2302.0,,882591.0,368.0,14140.0,,88934.0,228.0,156338294.0,15465208.0,10109033.0,Asia,11.0,4391.0,0.0,22.0,,1399.0
75,68.0,Uruguay,895775,,7197.0,,886654.0,,1924.0,18.0,256246.0,2059.0,6091188.0,1742452.0,3495757.0,South America,4.0,486.0,1.0,,,550.0
76,69.0,Ecuador,869696,,35598.0,,,,,759.0,47962.0,1963.0,2470170.0,136224.0,18133173.0,South America,21.0,509.0,7.0,,,21520.0
77,70.0,Costa Rica,852074,,8405.0,,832853.0,,10816.0,45.0,164518.0,1623.0,4291131.0,828527.0,5179229.0,North America,6.0,616.0,1.0,,,2088.0
78,71.0,Guatemala,846632,86.0,17613.0,29.0,826812.0,210.0,2207.0,5.0,45710.0,951.0,4466318.0,241139.0,18521789.0,North America,22.0,1052.0,4.0,5.0,2.0,119.0
79,72.0,Latvia,822726,713.0,5770.0,10.0,809733.0,824.0,7223.0,8.0,445184.0,3122.0,7182151.0,3886325.0,1848057.0,Europe,2.0,320.0,0.0,386.0,5.0,3908.0
80,73.0,Azerbaijan,792579,1.0,9709.0,,782786.0,5.0,84.0,,76902.0,942.0,6819005.0,661629.0,10306390.0,Asia,13.0,1062.0,2.0,0.1,,8.0
81,74.0,Panama,777658,538.0,8185.0,1.0,763170.0,1000.0,6303.0,8.0,175187.0,1844.0,5883163.0,1325328.0,4439024.0,North America,6.0,542.0,1.0,121.0,0.2,1420.0
82,75.0,Saudi Arabia,754238,128.0,9093.0,4.0,741906.0,120.0,3239.0,49.0,21065.0,254.0,41912766.0,1170560.0,35805734.0,Asia,47.0,3938.0,1.0,4.0,0.1,90.0
83,76.0,Sri Lanka,663408,35.0,16505.0,,646129.0,3.0,774.0,,30745.0,765.0,6486117.0,300596.0,21577526.0,Asia,33.0,1307.0,3.0,2.0,,36.0
84,77.0,Paraguay,649455,,18870.0,,624673.0,,5912.0,2.0,89054.0,2587.0,2623300.0,359709.0,7292833.0,South America,11.0,386.0,3.0,,,811.0
85,78.0,Kuwait,631409,,2555.0,,628090.0,,764.0,8.0,143956.0,583.0,8007805.0,1825717.0,4386115.0,Asia,7.0,1717.0,1.0,,,174.0
86,79.0,Myanmar,612914,14.0,19434.0,,591847.0,21.0,1633.0,,11128.0,353.0,7970408.0,144713.0,55077194.0,Asia,90.0,2834.0,7.0,0.3,,30.0
87,80.0,Palestine,581940,,5353.0,,576242.0,,345.0,17.0,109422.0,1007.0,3078533.0,578856.0,5318304.0,Asia,9.0,994.0,2.0,,,65.0
88,81.0,Dominican Republic,579443,,4376.0,,574726.0,,341.0,1.0,52453.0,396.0,3279736.0,296891.0,11046946.0,North America,19.0,2524.0,3.0,,,31.0
89,82.0,Estonia,572193,,2539.0,,511039.0,,58615.0,3.0,430814.0,1912.0,3326696.0,2504727.0,1328167.0,Europe,2.0,523.0,0.0,,,44132.0
90,83.0,Bahrain,569370,279.0,1476.0,,564735.0,374.0,3159.0,1.0,314620.0,816.0,9727349.0,5375093.0,1809708.0,Asia,3.0,1226.0,0.0,154.0,,1746.0
91,84.0,Venezuela,522434,,5709.0,,515703.0,,1022.0,230.0,18468.0,202.0,3359014.0,118741.0,28288539.0,South America,54.0,4955.0,8.0,,,36.0
92,85.0,Moldova,516986,,11489.0,,504142.0,,1355.0,49.0,128706.0,2860.0,3216305.0,800711.0,4016810.0,Europe,8.0,350.0,1.0,,,337.0
93,86.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4871.0,232.0,3693367.0,34888.0,105865008.0,Africa,205.0,4301.0,29.0,,,461.0
94,87.0,Libya,501904,,6430.0,,490973.0,,4501.0,101.0,71271.0,913.0,2477219.0,351766.0,7042237.0,Africa,14.0,1095.0,3.0,,,639.0
95,88.0,Cyprus,474267,,1020.0,,124370.0,,348877.0,60.0,387650.0,834.0,9477138.0,7746304.0,1223440.0,Asia,3.0,1199.0,0.0,,,285161.0
96,89.0,Ethiopia,470587,6.0,7510.0,,455391.0,8.0,7686.0,11.0,3916.0,62.0,47913653.0,398711.0,120171463.0,Africa,255.0,16002.0,3.0,0.05,,64.0
97,90.0,Mongolia,469885,,2179.0,,313256.0,,154450.0,192.0,139231.0,646.0,4030048.0,1194135.0,3374868.0,Asia,7.0,1549.0,1.0,,,45765.0
98,91.0,Honduras,423179,,10893.0,,132318.0,,279968.0,105.0,41517.0,1069.0,1263329.0,123943.0,10192790.0,North America,24.0,936.0,8.0,,,27467.0
99,92.0,Armenia,422874,3.0,8622.0,,412003.0,518.0,2249.0,,142220.0,2900.0,3055957.0,1027773.0,2973377.0,Asia,7.0,345.0,1.0,1.0,,756.0
100,93.0,Oman,389126,,4258.0,,384243.0,,625.0,4.0,72814.0,797.0,25000000.0,4678022.0,5344139.0,Asia,14.0,1255.0,0.0,,,117.0
101,94.0,Bosnia and Herzegovina,377087,,15765.0,,192218.0,,169104.0,,116260.0,4861.0,1758191.0,542068.0,3243488.0,Europe,9.0,206.0,2.0,,,52136.0
102,95.0,Réunion,374295,,742.0,,355605.0,,17948.0,10.0,412672.0,818.0,1603660.0,1768087.0,907003.0,Africa,2.0,1222.0,1.0,,,19788.0
103,96.0,Qatar,364728,73.0,677.0,,363516.0,46.0,535.0,3.0,129898.0,241.0,3447199.0,1227720.0,2807805.0,Asia,8.0,4147.0,1.0,26.0,,191.0
